2000|10|01|ZCRD|0000100123|0000100123|Z01|GCB12|28|GCB06||GCB03|
2000|10|01|ZCRD|0000100129|0000100129|Z01|GCB12|13|GCB06||GCB03|
2000|10|01|ZCRD|0000100146|0000100146|Z01|GCB12||GCB06||GCB03|43
2000|10|01|ZCRD|0000100160|0000100160|Z01|GCB12|10|GCB06|37|GCB03|10
2000|10|01|ZCRD|0000101007|0000101007|Z01|GCB12|28|GCB06|28|GCB03|
2000|10|01|ZCRD|0000101008|0000101008|Z01|GCB12||GCB06||GCB03|43
2000|10|01|ZCRD|0000101009|0000101009|Z01|GCB12|13|GCB06||GCB03|
2000|10|01|ZCRD|0000101010|0000101010|Z01|GCB12||GCB06|37|GCB03|
2000|10|01|ZCRD|0000101011|0000101011|Z01|GCB12|10|GCB06||GCB03|
2000|10|01|ZCRD|0000101012|0000101012|Z01|GCB12||GCB06||GCB03|10
2000|10|01|ZCRD|0000101013|0000101013|Z01|GCB12|28|GCB06||GCB03|
2000|10|01|ZCRD|0000101014|0000101014|Z01|GCB12||GCB06||GCB03|
2000|10|01|ZCRD|0000101015|0000101015|Z01|GCB12||GCB06|13|GCB03|
2000|10|01|ZCRD|0000101017|0000101017|Z01|GCB12||GCB06|10|GCB03|
2000|10|01|ZCRD|0000101018|0000101018|Z01|GCB12||GCB06||GCB03|10
2000|10|01|ZCRD|0000101019|0000101019|Z01|GCB12|43|GCB06||GCB03|
2000|10|01|ZCRD|0000101020|0000101020|Z01|GCB12||GCB06||GCB03|10
2000|10|01|ZCRD|0000101021|0000101021|Z01|GCB12|43|GCB06||GCB03|
2000|10|01|ZCRD|0000101024|0000101024|Z01|GCB12||GCB06||GCB03|10
2000|10|01|ZCRD|0000101025|0000101025|Z01|GCB12|43|GCB06||GCB03|
2000|10|01|ZCRD|0000101129|0000101129|Z01|GCB12||GCB06|13|GCB03|
2000|10|01|ZCRD|0000102158|0000102158|Z01|GCB12|37|GCB06|10|GCB03|10
2000|10|01|ZCRD|0000110123|0000110123|Z01|GCB12|43|GCB06||GCB03|
